"","X2010","X2014","countryName"
"382574",0,0,"Turkmenistan"
"384127",0,0,"Turks and Caicos Islands"
"385680",27.647875144394,-27.647875144394,"Tuvalu"
"387233",0,0,"Uganda"
"388786",34.5775216000222,-0.494974746830579,"Ukraine"
"390339",0,0,"United Arab Emirates"
"391892",48.4368145112785,-0.21213203435596,"United Kingdom"
"393445",28.5671139599365,-28.5671139599365,"United States"
"394998",61.447579285111,-2.61629509039022,"Uruguay"
"396551",0,0,"Uzbekistan"
"398104",26.3750829382582,-26.3750829382582,"Vanuatu"
"399657",0,0,"Venezuela, RB"
"401210",52.3966124859232,-3.18198051533946,"Vietnam"
"402763",0,0,"Virgin Islands (U.S.)"
"404316",25.5265548008344,-25.5265548008344,"West Bank and Gaza"
"405869",25.9508188695463,25.9508188695463,"Yemen, Rep."
"407422",39.315137033972,-39.315137033972,"Zambia"
"408975",0,0,"Zimbabwe"
